lead_time,resolution,in_sample_accuracy,out_sample_accuracy,in_sample_f1,out_sample_f1
1,1,0.9741942906343244,0.9496835505823066,0.9429955977598634,0.8898921095176417
1,2,0.95153620434561,0.9332916691466778,0.894157506605047,0.8552307230793664
1,3,0.9527957978910282,0.9370791421145567,0.8958995344636325,0.8621610780283155
1,5,0.9400517841149197,0.9251096164910819,0.8688608724217659,0.8354615299686434
1,6,0.9422540316395251,0.9263793821796321,0.8693307711382963,0.8312921422610955
2,1,0.9708666373430308,0.9351983016883916,0.9362378773957198,0.8569958373549834
2,2,0.9431560492389277,0.9169077237466023,0.8740208027940968,0.8161629254513694
2,3,0.9393802387604776,0.916270856893439,0.8595517750934116,0.8078363929543603
2,5,0.9204880526834224,0.8948455449080411,0.8272213172965059,0.7728866566117378
2,6,0.9195420556694772,0.8986250818403667,0.8202613429461154,0.7733513059664201
3,1,0.9632820188256611,0.92570481915759,0.9193502657473246,0.831968691837526
3,2,0.9320908645284588,0.9017459278217567,0.8474990345440732,0.7824079859340733
3,3,0.9157104298132946,0.8916592266333353,0.8074860138466493,0.7522994927017197
3,5,0.9075198401618237,0.8784179513124218,0.8016956673578836,0.7393370643852671
3,6,0.9079874412861513,0.8815745094538023,0.7993881363214703,0.7399324024060523
4,1,0.9610528173653217,0.9105152471083071,0.915152898570222,0.8068765586851416
4,2,0.9181809368264835,0.8650992996448623,0.8010789307014667,0.6805169747811871
4,3,0.9103000947118002,0.8619467095212586,0.7884977380918091,0.6737101164601713
4,5,0.8969019795014829,0.8493403170446203,0.7503167327223416,0.6368791638222667
4,6,0.8975307813350636,0.8455468920500764,0.7508525614569864,0.6291012580855345
5,1,0.9511041009463723,0.9022082018927445,0.8774712308982158,0.7627131691616699
5,2,0.9041009463722398,0.861198738170347,0.752097965115692,0.6383553701200759
5,3,0.8943217665615142,0.8517350157728707,0.7382807716029113,0.6204946532347001
5,5,0.8982649842271293,0.8555205047318613,0.7521160320520458,0.6397190935041649
5,6,0.889589905362776,0.846056782334385,0.7189764859924191,0.600513105977317
6,1,0.9501191368368112,0.8958910673641338,0.8791977856944847,0.7415661691542288
6,2,0.8800401604425865,0.84157848500579,0.6865827051828268,0.5818471993544752
6,3,0.8945596667654285,0.8485225412290859,0.7489838759016902,0.6369149849274922
6,5,0.8822489847848441,0.8440981511799703,0.6850261360045214,0.5660560433311902
6,6,0.8805164588100259,0.8390308669089166,0.6886056259026959,0.5637372672614098
7,1,0.9323889572586911,0.8800543065926606,0.8274110529327784,0.6946777620068093
7,2,0.8805915380212991,0.8351774947091004,0.6754491081527008,0.5379480686528695
7,3,0.8764852352399156,0.8364373277961906,0.6571087749921463,0.5378571452476185
7,5,0.867483363694513,0.8288803258395558,0.633020300968174,0.5039076166697689
7,6,0.8689031696572741,0.834546579882602,0.6470635594316597,0.5390724698359837
8,1,0.9312350373714479,0.8755460607754662,0.7983630754092219,0.631163313639366
8,2,0.8715064096560079,0.8331549734456735,0.6443189558192551,0.5180292269745304
8,3,0.8805110241087986,0.8268298526534361,0.6687630489519032,0.5184836307603874
8,5,0.8694487008972894,0.8211356466876971,0.6751805982451295,0.5489613381923426
8,6,0.8756118364772805,0.8255540470390927,0.6747404895548439,0.5455860390640517
9,1,0.9150676689848402,0.8748093279559159,0.758752856076218,0.6348779785922037
9,2,0.8731688097263222,0.8355648284949886,0.6432116208612613,0.5267252115141432
9,3,0.8635239155451044,0.8342990057101785,0.6047923409020359,0.5177202876369472
9,5,0.8681081452944414,0.819742043684862,0.6193805756971427,0.49811194295900185
9,6,0.8696911742632711,0.8229006109491674,0.6199593117822217,0.4825378308377567
10,1,0.9227848101265822,0.8670886075949367,0.7720279307206956,0.6230868361042347
10,2,0.8751582278481014,0.830379746835443,0.6589470871943528,0.5441229661796667
10,3,0.8653481012658227,0.8177215189873419,0.5943998587912841,0.4439297075717268
10,5,0.8604430379746836,0.8151898734177216,0.616562888004375,0.4934223287687819
10,6,0.8623417721518989,0.8158227848101266,0.6133696483147106,0.47000967513035974
11,1,0.932541943534081,0.8866907775768536,0.7932436851080171,0.684824566736191
11,2,0.8593928209908096,0.8258790436005625,0.5668351866443355,0.46952229684333613
11,3,0.8660395181254197,0.8113140446051839,0.582339019441493,0.4458496750114226
11,5,0.8711088226745642,0.8189210367691381,0.6435292105372918,0.5190363550560793
11,6,0.8630341912464796,0.7961362266425558,0.6140332142181942,0.4629258979638527
12,1,0.9136369396940598,0.8619449467550734,0.7491013662785349,0.6171088766743241
12,2,0.8702277298661276,0.8251657625075346,0.6013660894515185,0.47836333943115206
12,3,0.8694375954416383,0.8143962226240709,0.6344191570280605,0.48448189741681613
12,5,0.855331117393372,0.8067952581876632,0.6032874167908513,0.49404765561525466
12,6,0.8667408241138436,0.8188286116134218,0.5781386561684675,0.46287314610205454
13,1,0.9159546859270747,0.8656841470765521,0.7238639219598934,0.5927778967659028
13,2,0.8631740210709935,0.8168173598553345,0.5873088676754371,0.44468700954300316
13,3,0.8561940502029055,0.8161623467952582,0.5289915905160781,0.41564309017130413
13,5,0.8639661627440803,0.8136387381957002,0.5809196509718182,0.44642720206350867
13,6,0.86697524541562,0.8180972473377537,0.5752301985887762,0.45093711508372447
14,1,0.9312942612942614,0.8617299578059072,0.8065943565231883,0.6206776099160516
14,2,0.8497646111048173,0.8115672091621459,0.4622603443956413,0.33776247714630253
14,3,0.8646747982830456,0.8191782198111313,0.5550191070345504,0.4159300409724362
14,5,0.8714936495348867,0.821725939320876,0.5869825744598884,0.45968334033907804
14,6,0.8586465767909066,0.8052180028129395,0.5474813873147858,0.41287945770704393
15,1,0.930952380952381,0.8698412698412697,0.8035580710925643,0.6422415624098549
15,2,0.8649206349206349,0.8158730158730159,0.548724884070947,0.42686501584910397
15,3,0.8553968253968254,0.8139682539682539,0.5286730168341165,0.41805025040319155
15,5,0.8726984126984128,0.8139682539682539,0.5935602975491288,0.4606114260822288
15,6,0.8553968253968254,0.7961904761904761,0.5317643154559358,0.3880481717480381
16,1,0.9094543414400444,0.8539338792841977,0.7347769750066603,0.576208652283558
16,2,0.8481413820492454,0.8189626933575977,0.4883725515408684,0.3857653817642698
16,3,0.8540176759080651,0.8164108785764836,0.5187616506202783,0.42342571561051007
16,5,0.8576741429958268,0.8157820240622788,0.5267228836259894,0.41211534722404347
16,6,0.8481461729515741,0.7954382772217166,0.5053558804734016,0.3592637894813503
17,1,0.9198740767586256,0.87358406632292,0.7345260942935885,0.5923270185846873
17,2,0.8605901420740463,0.8156930542917804,0.5486906299189871,0.4360957014836481
17,3,0.8537602079021507,0.8105853806490749,0.49877081307034976,0.38375962340229564
17,5,0.8605963296380528,0.8131432615509049,0.544424097821146,0.4101614318014131
17,6,0.8416858712658367,0.7978728136689921,0.49242495331564157,0.3574076749000915
18,1,0.9163210662578907,0.8652229299363057,0.7370976382915306,0.5728236047714651
18,2,0.8498538549781003,0.8009200283085633,0.5106177548986877,0.3571427297007227
18,3,0.8625770091304277,0.8047396623192802,0.5914239381308628,0.4114321630600701
18,5,0.8638430512500428,0.7983823678091195,0.5645449604956068,0.39123194467681666
18,6,0.8376084072279495,0.7862723688201395,0.476748159937857,0.3444864994160769
