lead,config,auroc,sd
3,logistic (ceiling),0.9239766081871345,0.0
3,gradient boosting,0.8518518518518517,0.0
3,"BASE (flatten, bs32)",0.8867771280051983,0.010178330213008766
3,batch=128 (3 upd/ep),0.8846653671215075,0.012858685787630497
3,batch=16,0.9004223521767382,0.008368581463542088
3,batch=8,0.9043209876543209,0.009494242492659125
3,+ input dropout 0.2,0.8744314489928525,0.003240730562582887
3,head = GAP,0.8230994152046783,0.004985708009494094
3,1 conv layer,0.8999350227420403,0.014953595156419787
3,3 conv layers,0.8760558804418453,0.014414483789135108
3,adaptive-pool 4x4,0.8651721897335932,0.026888143638935973
3,no pooling (full),0.8791423001949319,0.023191283635656385
3,+ weight decay 1e-3,0.8854775828460039,0.009357063563297376
3,"tuned (bs16,wd,long)",0.8908382066276802,0.020915461728922943
6,logistic (ceiling),0.7933723196881092,0.0
6,gradient boosting,0.7285575048732943,0.0
6,"BASE (flatten, bs32)",0.7742040285899935,0.00543153135064995
6,batch=128 (3 upd/ep),0.7370045484080571,0.02015342744544614
6,batch=16,0.7707927225471085,0.010928452366182038
6,batch=8,0.7602339181286549,0.008076545090744677
6,+ input dropout 0.2,0.7616959064327485,0.027281744643817572
6,head = GAP,0.6319038336582196,0.0026493675162930492
6,1 conv layer,0.7506497725795972,0.022134033448056478
6,3 conv layers,0.7608836907082521,0.023463898746286925
6,adaptive-pool 4x4,0.7551981806367771,0.012956813906828646
6,no pooling (full),0.7452891487979207,0.025348418671746576
6,+ weight decay 1e-3,0.757472384665367,0.018157336393526423
6,"tuned (bs16,wd,long)",0.7683560753736192,0.009223566969836481
