lead,method,type,test_auroc,auroc_sd
3,logistic_L2,linear,0.9239766081871345,0.0
3,grad_boosting,nonlinear,0.8518518518518517,0.0
3,CNN_ungated,nonlinear,0.8224496426250812,0.005069683734349317
3,CNN_ours_TVmask,nonlinear,0.8260233918128655,0.0061256360087604805
3,CNN_L0_gate,nonlinear,0.8282975958414555,0.006542245148018962
3,CNN_STG_gate,nonlinear,0.826348278102664,0.004713651113887886
3,CNN_attention,nonlinear,0.8237491877842755,0.006849632437396971
6,logistic_L2,linear,0.7933723196881092,0.0
6,grad_boosting,nonlinear,0.7285575048732943,0.0
6,CNN_ungated,nonlinear,0.6124106562703054,0.009024005466102127
6,CNN_ours_TVmask,nonlinear,0.6166341780376868,0.010753196337514847
6,CNN_L0_gate,nonlinear,0.6200454840805718,0.006219684769030746
6,CNN_STG_gate,nonlinear,0.6193957115009746,0.00917767829228437
6,CNN_attention,nonlinear,0.6204515919428201,0.006042142596945172
