lead,gate,accuracy,precision,recall,f1,auroc,auprc,runtime_sec
3,none,0.767,0.5385,0.5385,nan,0.8526,0.6156,4.8685
3,pixel,0.7767,0.5652,0.5,nan,0.8621,0.6336,2285.2859
3,tile_2x2,0.835,0.6071,0.7391,nan,0.8837,0.7488,8.327
3,tile_4x4,0.767,0.35,0.3889,nan,0.8124,0.56,4.1228
6,none,0.7184,0.375,0.1111,nan,0.7222,0.4026,2.9349
6,pixel,0.7184,0.3333,0.0357,nan,0.6005,0.3336,654.463
6,tile_2x2,0.7087,0.0,0.0,nan,0.7402,0.4783,3.1093
6,tile_4x4,0.7864,0.0,0.0,nan,0.7699,0.3938,3.0983
9,none,0.7647,0.0,0.0,nan,0.6522,0.3136,2.9254
9,pixel,0.6667,0.0,0.0,nan,0.6237,0.4329,723.9167
9,tile_2x2,0.7353,0.0,0.0,nan,0.6835,0.3867,3.5799
9,tile_4x4,0.6667,0.0,0.0,nan,0.5913,0.3925,3.0625
12,none,0.7451,0.0,0.0,nan,0.663,0.3731,2.9004
12,pixel,0.7549,0.0,0.0,nan,0.6592,0.3651,603.0286
12,tile_2x2,0.7745,0.0,0.0,nan,0.5234,0.2416,3.0663
12,tile_4x4,0.7255,0.0,0.0,nan,0.6404,0.3666,3.0438
15,none,0.7624,0.0,0.0,nan,0.7278,0.406,3.3534
15,pixel,0.7525,0.0,0.0,nan,0.7695,0.4925,652.0341
15,tile_2x2,0.7624,0.0,0.0,nan,0.7002,0.3746,3.0379
15,tile_4x4,0.7228,0.0,0.0,nan,0.8126,0.6053,3.0282
